Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Al II ,365.6319,2, ,148 825.7   ,4,,,,,,,,,,,,,
Al III ,365.83, 1d* , ,217 252.15  , 9/2 ,,,,,,,,,,,,,
Al III ,365.83, * , ,217 252.15  , 11/2 ,,,,,,,,,,,,,
Al III , ,  , ,217 239.31  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III , ,  , ,217 239.31  , 7/2 ,,,,,,,,,,,,,
Al IV ,366.201,1, ,853 039.1   ,3,,,,,,,,,,,,,
Al IV ,366.288,2, ,852 570.5   ,2,,,,,,,,,,,,,
Al III ,370.2106,10,1.13E+08,170 637.35  , 1/2 ,,,,,,,,,,,,,
Al II ,370.3219,30,3.23E+07,133 916.368 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,371.3123,11,2.27E+08,170 637.35  , 1/2 ,,,,,,,,,,,,,
Al IV ,372.592,300, ,852 570.5   ,2,,,,,,,,,,,,,
Al II ,373.1952,10,4.95E+06,132 215.517 ,1,,,,,,,,,,,,,
Al II ,373.3908,20,1.48E+07,132 215.517 ,1,,,,,,,,,,,,,
Al II ,373.4567,3, ,148 253.08  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,373.4715, 2* , ,148 252.52  ,3,,,,,,,,,,,,,
Al II ,373.4715, 2* , ,148 252.37  ,2,,,,,,,,,,,,,
Al II ,373.8015,50,2.46E+07,132 215.517 ,1,,,,,,,,,,,,,
Al IX , ,  ,5.09E+06,1 720 830     , 1/2 ,,,,,,,,,,,,,
Al II ,375.31,2, ,148 004.49  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  , ,146 602.10  ,2,,,,,,,,,,,,,
Al II , ,  , ,146 596.95  ,1,,,,,,,,,,,,,
Al II , ,  , ,146 594.85  ,0,,,,,,,,,,,,,
Al VIII , ,  ,6.03E+06,1 531 250     , 1? ,,,,,,,,,,,,,
Al IV ,380.581,10, ,852 007.5   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,384.2037,6, ,147 504.12  ,4,,,,,,,,,,,,,
Al II ,384.2213,4, ,147 503.27  ,3,,,,,,,,,,,,,
Al II ,384.2317,2, ,147 502.76  ,2,,,,,,,,,,,,,
Al II ,385.933,6, ,147 270.82  ,1,,,,,,,,,,,,,
Al II ,386.616,8,4.26E+07,132 778.633 ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IX , ,  ,7.24E+07,2 265 590?    , 7/2 ,,,,,,,,,,,,,
Al VI , ,  ,1.74E+06,986 765     ,0,,,,,,,,,,,,,
Al IX , ,  ,6.71E+07,2 262 600?    , 5/2 ,,,,,,,,,,,,,
Al II ,390.0675,100,4.80E+05,85 481.35  ,2,,,,,,,,,,,,,
Al VI , ,  ,2.76E+04,986 706     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,3.55E+05,986 706     ,2,,,,,,,,,,,,,
Al VI , ,  ,1.54E+06,986 706     ,2,,,,,,,,,,,,,
Al VI , ,  ,5.04E+05,986 643     ,1,,,,,,,,,,,,,
Al VI , ,  ,1.25E+06,986 643     ,1,,,,,,,,,,,,,
Al I ,393.1996,5, ,67 662.959 , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,393.5677,4, ,67 635.128 , 3/2 ,,,,,,,,,,,,,
Al I ,394.40058, 24g ,4.99E+07,25 347.756 , 1/2 ,,,,,,,,,,,,,
Al I ,396.152, 26g ,9.85E+07,25 347.756 , 1/2 ,,,,,,,,,,,,,
Al II , ,  , ,146 602.10  ,2,,,,,,,,,,,,,
Al III , ,  ,1.55E+06,213 995.48  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,398.014, 5d* ,2.33E+07,213 995.48  , 7/2 ,,,,,,,,,,,,,
Al III ,398.014, 5d* ,2.17E+07,213 995.48  , 5/2 ,,,,,,,,,,,,,
Al II , ,  , ,146 596.95  ,1,,,,,,,,,,,,,
Al II , ,  , ,146 594.85  ,0,,,,,,,,,,,,,
Al II , ,  , ,145 159.49  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  , ,145 151.06  ,1,,,,,,,,,,,,,
Al II , ,  , ,145 145.84  ,0,,,,,,,,,,,,,
Al II ,399.5838,40,7.05E+06,146 502.47  ,4,,,,,,,,,,,,,
Al II ,399.6075,10,7.85E+05,146 500.99  ,3,,,,,,,,,,,,,
Al II ,399.6143,30,6.26E+06,146 500.99  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,399.6182,5, ,146 500.99  ,3,,,,,,,,,,,,,
Al II , ,  ,3.10E+04,146 499.90  ,2,,,,,,,,,,,,,
Al II ,399.6323,5,1.10E+06,146 499.90  ,2,,,,,,,,,,,,,
Al II ,399.637,20,5.91E+06,146 499.90  ,2,,,,,,,,,,,,,
Al III ,399.8164,2,3.11E+05,195 641.74  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,400.1376,1,3.59E+05,195 621.72  , 1/2 ,,,,,,,,,,,,,
Al II ,400.57,2, ,149 751.2   ,1,,,,,,,,,,,,,
Al II ,400.958,2, ,146 299.92  ,1,,,,,,,,,,,,,
Al II ,402.65,20,1.16E+07,134 919.40  ,1,,,,,,,,,,,,,
Al II ,405.68,2, ,149 437.17  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,408.245,5,1.78E+07,202 921.60  , 1/2 ,,,,,,,,,,,,,
Al II , ,  ,6.04E+05,145 961.54  ,2,,,,,,,,,,,,,
Al II , ,  ,1.08E+05,145 961.54  ,2,,,,,,,,,,,,,
Al II , ,  ,7.17E+03,145 961.54  ,2,,,,,,,,,,,,,
Al III ,408.8611,6,3.55E+07,202 921.60  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,5.30E+05,145 834.70  ,1,,,,,,,,,,,,,
Al II , ,  ,1.77E+05,145 834.70  ,1,,,,,,,,,,,,,
Al II , ,  ,7.01E+05,145 776.15  ,0,,,,,,,,,,,,,
Al III ,414.237, 5d* , ,214 010.22  , 7/2 ,,,,,,,,,,,,,
Al III ,414.237, 5d* , ,214 010.22  , 9/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,414.9915,12,2.05E+08,189 876.42  , 7/2 ,,,,,,,,,,,,,
Al III , ,  ,1.37E+07,189 876.10  , 5/2 ,,,,,,,,,,,,,
Al III ,415.0173,12,1.91E+08,189 876.10  , 5/2 ,,,,,,,,,,,,,
Al III ,415.091, bl* , ,214 012.93  , 9/2 ,,,,,,,,,,,,,
Al III ,415.091, * , ,214 012.93  , 11/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,415.091, * , ,214 012.93  , 9/2 ,,,,,,,,,,,,,
Al III , ,  , ,213 995.48  , 5/2 ,,,,,,,,,,,,,
Al III , ,  , ,213 995.48  , 7/2 ,,,,,,,,,,,,,
Al VIII , ,  ,7.52E+06,1 531 250     , 1? ,,,,,,,,,,,,,
Al III ,418.973, bl* ,1.59E+06,213 737.44  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,418.973, bl* ,7.58E+04,213 737.44  , 5/2 ,,,,,,,,,,,,,
Al III ,418.973, * ,1.52E+06,213 737.44  , 5/2 ,,,,,,,,,,,,,
Al IV ,419.041,10, ,825 739.6   ,2,,,,,,,,,,,,,
Al II ,422.6813,50,9.37E+06,145 135.31  ,4,,,,,,,,,,,,,
Al II ,422.6918,2, ,145 135.31  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,422.742,10,1.04E+06,145 131.93  ,3,,,,,,,,,,,,,
Al II ,422.7492,50,8.31E+06,145 131.93  ,3,,,,,,,,,,,,,
Al II ,422.7545,5, ,145 131.93  ,3,,,,,,,,,,,,,
Al II ,422.7875,2,4.11E+04,145 129.51  ,2,,,,,,,,,,,,,
Al II ,422.7945,5,1.46E+06,145 129.51  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,422.7999,50,7.85E+06,145 129.51  ,2,,,,,,,,,,,,,
Al II ,424.0708,10, ,144 941.10  ,1,,,,,,,,,,,,,
Al I ,425.512,2, ,67 662.959 , 5/2 ,,,,,,,,,,,,,
Al II ,428.297,2, ,148 135.9   ,3,,,,,,,,,,,,,
Al II , ,  ,4.85E+05,134 919.40  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,430.7203,5, ,148 004.49  ,1,,,,,,,,,,,,,
Al II ,433.2,2, ,143 170.04  ,2,,,,,,,,,,,,,
Al II ,434.6866,2, ,146 416.9   ,3,,,,,,,,,,,,,
Al II ,434.6897, 5hfs ,4.18E+06,146 416.9   ,3,,,,,,,,,,,,,
Al II ,434.6918,3, ,146 416.9   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,4.28E+06,146 416.9   ,4,,,,,,,,,,,,,
Al II , ,  ,3.67E+05,146 416.9   ,3,,,,,,,,,,,,,
Al II , ,  ,5.58E+03,146 416.9   ,3,,,,,,,,,,,,,
Al II , ,  ,2.85E+05,146 416.9   ,4,,,,,,,,,,,,,
Al II , ,  ,4.56E+06,146 416.9   ,5,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,435.7562, 4d ,7.40E+06,201 375.56  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,1.44E+06,201 375.56  , 3/2 ,,,,,,,,,,,,,
Al III ,436.4642, 5d ,8.67E+06,201 375.20  , 5/2 ,,,,,,,,,,,,,
Al IV ,437.858,10, ,825 739.6   ,2,,,,,,,,,,,,,
Al IX , ,  ,3.32E+06,2 262 600?    , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,441.138,5, ,824 544.7   ,2,,,,,,,,,,,,,
Al VIII , ,  ,1.56E+04,1 507 210     , 2? ,,,,,,,,,,,,,
Al II ,443.282,5, ,147 346.67  ,3,,,,,,,,,,,,,
Al IV ,443.615,7, ,827 844.9   ,1,,,,,,,,,,,,,
Al II ,444.7803,200, ,147 270.82  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,446.885,20, ,825 277.9   ,1,,,,,,,,,,,,,
Al III ,447.9892,12, ,189 928.49  , 7/2 ,,,,,,,,,,,,,
Al III ,447.9968,12, ,189 928.68  , 9/2 ,,,,,,,,,,,,,
Al II ,448.987,10, ,148 135.13  ,2,,,,,,,,,,,,,
Al IV ,450.225,30, ,828 439.2   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,450.374,40, ,824 080.0   ,3,,,,,,,,,,,,,
Al III ,451.2564,13,2.09E+08,165 787.51  , 3/2 ,,,,,,,,,,,,,
Al III ,452.8942,11,4.15E+07,165 787.51  , 3/2 ,,,,,,,,,,,,,
Al III ,452.9194,14,2.49E+08,165 786.32  , 5/2 ,,,,,,,,,,,,,
Al IV ,454.927,5, ,858 642.0   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VIII , ,  ,2.14E+05,1 507 210     , 2? ,,,,,,,,,,,,,
Al XII , ,  ,7.99E+06,(15 072 157)    ,1,,,,,,,,,,,,,
Al II ,458.5817,500,1.00E+07,143 283.75  ,4,,,,,,,,,,,,,
Al II ,458.8082,5,1.12E+06,143 272.86  ,3,,,,,,,,,,,,,
Al II ,458.8191,400,8.91E+06,143 272.86  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,4.40E+04,143 265.83  ,2,,,,,,,,,,,,,
Al II ,458.9674,200,1.56E+06,143 265.83  ,2,,,,,,,,,,,,,
Al II ,458.9742,300,8.41E+06,143 265.83  ,2,,,,,,,,,,,,,
Al II ,460.97,7, ,143 170.04  ,2,,,,,,,,,,,,,
Al II , ,  , ,143 166.76  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  , ,143 165.4   ,0,,,,,,,,,,,,,
Al IV ,462.035,15, ,824 544.7   ,2,,,,,,,,,,,,,
Al IV ,462.606,5, ,827 844.9   ,1,,,,,,,,,,,,,
Al II ,462.97,7, ,142 961.20  ,1,,,,,,,,,,,,,
Al II ,463.15,5, ,147 288.0   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,463.32,5, ,147 286.65  ,2,,,,,,,,,,,,,
Al II ,463.5763,30, ,147 287.10  ,3,,,,,,,,,,,,,
Al II , ,  ,6.66E+06,144 967.1   ,3,,,,,,,,,,,,,
Al II , ,  ,6.79E+06,144 967.1   ,4,,,,,,,,,,,,,
Al II , ,  ,5.82E+05,144 967.1   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,8.88E+03,144 967.1   ,3,,,,,,,,,,,,,
Al II , ,  ,4.52E+05,144 967.1   ,4,,,,,,,,,,,,,
Al II , ,  ,7.24E+06,144 967.1   ,5,,,,,,,,,,,,,
Al II ,464.7321,10, ,147 233.45  ,1,,,,,,,,,,,,,
Al II ,464.8611,400, ,146 299.92  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,465.3,2, ,146 278.70  ,3,,,,,,,,,,,,,
Al II ,465.505,2, ,147 344.89  ,2,,,,,,,,,,,,,
Al II ,466.3056,1000,5.81E+07,106 920.56  ,1,,,,,,,,,,,,,
Al II ,466.68,400, ,147 290.98  ,0,,,,,,,,,,,,,
Al VIII , ,  ,2.32E+05,1 585 420     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VIII , ,  ,4.64E+04,1 585 420     ,2,,,,,,,,,,,,,
Al III ,470.1148,5,7.67E+06,188 878.22  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,3.65E+05,188 877.57  , 5/2 ,,,,,,,,,,,,,
Al III ,470.1412,6,7.31E+06,188 877.57  , 5/2 ,,,,,,,,,,,,,
Al XI , ,  ,2.79E+07,2 726 910     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VIII , ,  ,9.75E+05,1 507 210     , 2? ,,,,,,,,,,,,,
Al VIII , ,  ,1.92E+05,1 585 420     ,2,,,,,,,,,,,,,
Al VIII , ,  ,6.89E+04,1 585 420     ,1,,,,,,,,,,,,,
Al VIII , ,  ,3.07E+04,1 585 420     ,3,,,,,,,,,,,,,
Al II ,489.852,10, ,146 112.14  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,489.876,5, ,146 276.0   ,2,,,,,,,,,,,,,
Al II ,489.964,6, ,146 112.14  ,1,,,,,,,,,,,,,
Al XI , ,  ,2.49E+07,2 726 120     , 1/2 ,,,,,,,,,,,,,
Al II ,490.277,10, ,146 112.14  ,1,,,,,,,,,,,,,
Al III , ,  ,2.34E+06,209 263.25  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,490.41, 5d* ,3.51E+07,209 263.25  , 7/2 ,,,,,,,,,,,,,
Al III ,490.41, 5d* ,3.27E+07,209 263.25  , 5/2 ,,,,,,,,,,,,,
Al II ,491.898,6, ,146 192.1   ,0,,,,,,,,,,,,,
Al VIII , ,  ,2.78E+05,1 504 780     , 1? ,,,,,,,,,,,,,
Al II ,496.21,6, ,144 941.10  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,500.097,6, ,144 784.45  ,3,,,,,,,,,,,,,
Al II ,508.502,8, ,141 143.05  ,4,,,,,,,,,,,,,
Al II ,509.365,5, ,141 110.06  ,3,,,,,,,,,,,,,
Al II ,510.034,3, ,141 084.89  ,2,,,,,,,,,,,,,
Al I ,510.752,6, ,44 921.287 , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al I ,510.7943,4, ,44 919.666 , 1/2 ,,,,,,,,,,,,,
Al VIII , ,  ,7.51E+05,1 504 780     , 1? ,,,,,,,,,,,,,
Al II , ,  ,1.17E+07,142 851.6   ,3,,,,,,,,,,,,,
Al II , ,  ,1.03E+06,142 851.6   ,3,,,,,,,,,,,,,
Al II , ,  ,1.19E+07,142 851.6   ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,1.56E+04,142 851.6   ,3,,,,,,,,,,,,,
Al II , ,  ,7.96E+05,142 851.6   ,4,,,,,,,,,,,,,
Al II , ,  ,1.27E+07,142 851.6   ,5,,,,,,,,,,,,,
Al III ,515.101, 5d* , ,209 284.53  , 7/2 ,,,,,,,,,,,,,
Al III ,515.101, 5d* , ,209 284.53  , 9/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,1.26E+07,142 851.6   ,4,,,,,,,,,,,,,
Al III ,516.389, 5d* , ,209 288.46  , 9/2 ,,,,,,,,,,,,,
Al III ,516.389, 5d* , ,209 288.46  , 11/2 ,,,,,,,,,,,,,
Al XI , ,  ,4.11E+06,2 088 100     , 3/2 ,,,,,,,,,,,,,
Al III ,517.06, 1d* , ,209 263.25  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,517.06, 1d* , ,209 263.25  , 7/2 ,,,,,,,,,,,,,
Al IX , ,  ,1.73E-01,1 661 320     , 5/2 ,,,,,,,,,,,,,
Al III ,526.011, 3d* ,1.32E+05,208 881.83  , 5/2 ,,,,,,,,,,,,,
Al III ,526.011, 3d* ,2.77E+06,208 881.83  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,2.64E+06,208 881.83  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,527.642,4, ,142 365.54  ,1,,,,,,,,,,,,,
Al II ,527.681,4, ,142 365.69  ,2,,,,,,,,,,,,,
Al II ,527.768,4, ,142 365.98  ,3,,,,,,,,,,,,,
Al II ,527.862,6,1.11E+06,144 642.0   ,1,,,,,,,,,,,,,
Al IX , ,  ,1.97E+00,1 661 320     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,528.0214,8,1.49E+06,144 642.18  ,2,,,,,,,,,,,,,
Al II , ,  ,8.32E+05,144 642.0   ,1,,,,,,,,,,,,,
Al II ,528.3735,100,2.00E+06,144 642.45  ,3,,,,,,,,,,,,,
Al II , ,  ,4.99E+05,144 642.18  ,2,,,,,,,,,,,,,
Al II , ,  ,5.53E+04,144 642.0   ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,528.5842,30,3.28E+06,144 782.23  ,2,,,,,,,,,,,,,
Al II ,531.076,4, ,144 527.35  ,1,,,,,,,,,,,,,
Al II ,531.232,10, ,144 527.35  ,1,,,,,,,,,,,,,
Al II ,531.6075,15, ,144 527.35  ,1,,,,,,,,,,,,,
Al II ,532.461,8, ,144 644.14  ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,1.17E+06,1 293 290     ,3,,,,,,,,,,,,,
Al VI , ,  ,9.32E+06,1 293 290     ,3,,,,,,,,,,,,,
Al VIII , ,  ,1.84E+05,1 585 420     ,3,,,,,,,,,,,,,
Al VIII , ,  ,3.23E+04,1 585 420     ,2,,,,,,,,,,,,,
Al II ,537.184, 12* , ,140 095.7   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,537.184, 12* , ,140 091.9   ,1,,,,,,,,,,,,,
Al II ,538.848,2,1.43E+06,139 918.98  ,1,,,,,,,,,,,,,
Al III , ,  ,1.26E+06,213 737.44  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,2.44E+05,213 737.44  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,1.47E+06,213 737.44  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al XI , ,  ,3.99E+06,2 088 530     , 5/2 ,,,,,,,,,,,,,
Al I ,555.7063,10,2.30E+05,43 337.889 , 3/2 ,,,,,,,,,,,,,
Al I ,555.7948,8,2.29E+05,43 335.024 , 1/2 ,,,,,,,,,,,,,
Al II ,559.3302,800,9.26E+07,124 794.13  ,2,,,,,,,,,,,,,
Al II ,561.3291,100,3.43E+06,142 604.05  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al XII , ,  ,1.77E+06,(15 066 998)    ,1,,,,,,,,,,,,,
Al XI , ,  ,6.18E+05,2 088 100     , 3/2 ,,,,,,,,,,,,,
Al III ,569.6603,17,8.77E+07,143 713.50  , 3/2 ,,,,,,,,,,,,,
Al III ,572.2728,16,8.65E+07,143 633.38  , 1/2 ,,,,,,,,,,,,,
Al XII , ,  ,2.25E+06,(15 067 044)    ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al XII , ,  ,1.25E+06,(15 066 998)    ,1,,,,,,,,,,,,,
Al II ,585.362,100,1.28E+07,138 561.8   ,4,,,,,,,,,,,,,
Al II ,586.153,80,1.14E+07,138 538.9   ,3,,,,,,,,,,,,,
Al II , ,  ,1.43E+06,138 538.9   ,3,,,,,,,,,,,,,
Al II , ,  ,5.61E+04,138 521.4   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,1.99E+06,138 521.4   ,2,,,,,,,,,,,,,
Al II ,586.781,50,1.07E+07,138 521.4   ,2,,,,,,,,,,,,,
Al II ,597.198,80,5.81E+06,142 609.27  ,2,,,,,,,,,,,,,
Al II ,599.97,3, ,142 365.54  ,1,,,,,,,,,,,,,
Al II ,599.975, 5hfs ,2.07E+06,142 365.54  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,599.983,2, ,142 365.54  ,1,,,,,,,,,,,,,
Al II ,600.118,2, ,149 437.17  ,1,,,,,,,,,,,,,
Al II ,600.176,60,2.79E+06,142 365.69  ,2,,,,,,,,,,,,,
Al II ,600.188,40,1.55E+06,142 365.54  ,1,,,,,,,,,,,,,
Al II ,600.641,200,3.71E+06,142 365.98  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,9.28E+05,142 365.69  ,2,,,,,,,,,,,,,
Al II , ,  ,1.03E+05,142 365.54  ,1,,,,,,,,,,,,,
Al VIII , ,  ,1.44E+05,1 507 210     , 2? ,,,,,,,,,,,,,
Al III ,605.521,5,8.59E+06,205 387.77  , 3/2 ,,,,,,,,,,,,,
Al III , ,  ,9.54E+05,205 387.77  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,605.984,4,9.46E+06,205 375.74  , 1/2 ,,,,,,,,,,,,,
Al II ,606.1124,30,8.38E+06,142 363.06  ,0,,,,,,,,,,,,,
Al II ,606.632,15, ,142 182.94  ,1,,,,,,,,,,,,,
Al II ,606.637, 25hfs ,8.88E+05,142 182.94  ,1,,,,,,,,,,,,,
Al II ,606.644,10, ,142 182.94  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,606.843,40, ,142 182.94  ,1,,,,,,,,,,,,,
Al II ,606.847, 65hfs ,2.66E+06,142 182.94  ,1,,,,,,,,,,,,,
Al II ,606.853,25, ,142 182.94  ,1,,,,,,,,,,,,,
Al II ,607.3198,50,4.43E+06,142 182.94  ,1,,,,,,,,,,,,,
Al XII , ,  ,2.54E+06,(15 067 605)    ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,1.18E+03,986 706     ,2,,,,,,,,,,,,,
Al VI , ,  ,2.99E+03,986 643     ,1,,,,,,,,,,,,,
Al IX , ,  ,6.74E+01,1 658 320     , 3/2 ,,,,,,,,,,,,,
Al II ,618.157,50, ,139 591.1   ,3,,,,,,,,,,,,,
Al II ,618.163, 110hfs ,2.41E+07,139 591.1   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,618.168,60, ,139 591.1   ,3,,,,,,,,,,,,,
Al II , ,  ,2.09E+06,139 591.1   ,3,,,,,,,,,,,,,
Al II , ,  ,2.44E+07,139 591.1   ,4,,,,,,,,,,,,,
Al II , ,  ,3.21E+04,139 591.1   ,3,,,,,,,,,,,,,
Al II , ,  ,1.63E+06,139 591.1   ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,2.61E+07,139 591.1   ,5,,,,,,,,,,,,,
Al II , ,  ,2.59E+07,139 591.1   ,4,,,,,,,,,,,,,
Al II ,622.618,50,6.25E+07,121 484.252 ,1,,,,,,,,,,,,,
Al II , ,  ,4.67E+07,121 484.252 ,1,,,,,,,,,,,,,
Al II ,623.1745,75,8.40E+07,121 483.92  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,3.11E+06,121 484.252 ,1,,,,,,,,,,,,,
Al II , ,  ,2.79E+07,121 483.92  ,2,,,,,,,,,,,,,
Al II ,624.336,100,1.11E+08,121 483.50  ,3,,,,,,,,,,,,,
Al IX , ,  ,6.71E+02,1 658 320     , 3/2 ,,,,,,,,,,,,,
Al XII , ,  ,5.72E+05,(15 067 044)    ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III , ,  ,6.28E+05,217 239.31  , 5/2 ,,,,,,,,,,,,,
Al III ,630.185, 2d* ,9.42E+06,217 239.31  , 7/2 ,,,,,,,,,,,,,
Al III ,630.185, 2d* ,8.79E+06,217 239.31  , 5/2 ,,,,,,,,,,,,,
Al XII , ,  ,6.30E+04,(15 066 998)    ,1,,,,,,,,,,,,,
Al II , ,  ,2.16E+05,139 289.15  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,633.5701,30,1.53E+07,125 869.015 ,1,,,,,,,,,,,,,
Al VIII , ,  ,1.58E+06,1 847 470?    ,3,,,,,,,,,,,,,
Al VIII , ,  ,1.37E+05,1 847 470?    ,3,,,,,,,,,,,,,
Al VIII , ,  ,3.85E+03,1 847 470?    ,3,,,,,,,,,,,,,
Al VIII , ,  ,3.99E+04,1 507 210     , 2? ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,7.93E+05,1 308 870?    ,2,,,,,,,,,,,,,
Al II , ,  ,2.16E+03,138 815.12  ,3,,,,,,,,,,,,,
Al II , ,  ,1.07E+05,138 814.87  ,2,,,,,,,,,,,,,
Al II , ,  ,9.59E+05,138 814.87  ,1,,,,,,,,,,,,,
Al II , ,  ,7.64E+04,138 815.12  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II , ,  ,8.52E+05,138 814.87  ,2,,,,,,,,,,,,,
Al II ,649.545,  ,8.80E+05,138 815.12  ,3,,,,,,,,,,,,,
Al III ,654.312, 2d* , ,217 250.17  , 9/2 ,,,,,,,,,,,,,
Al III ,654.312, 2d* , ,217 250.17  , 7/2 ,,,,,,,,,,,,,
Al III ,654.312, 2d* , ,217 250.17  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,655.618, 2d* , ,217 252.15  , 9/2 ,,,,,,,,,,,,,
Al III ,655.618, 2d* , ,217 252.15  , 9/2 ,,,,,,,,,,,,,
Al III ,655.618, 2d* , ,217 252.15  , 11/2 ,,,,,,,,,,,,,
Al II ,660.964,  ,2.20E+06,139 918.98  ,1,,,,,,,,,,,,,
