Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Si II , ,  ,8.73E+06,124 822.08  , 7/2 ,,,,,,,,,,,,,
Si III , ,  ,3.15E+01,199 026.49  ,3,,,,,,,,,,,,,
Si III , ,  ,5.56E+03,254 007.48  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.97E+05,254 007.48  ,3,,,,,,,,,,,,,
Si III , ,  ,2.27E+06,254 007.48  ,3,,,,,,,,,,,,,
Si III , ,  ,2.75E+05,[254 004]    ,2,,,,,,,,,,,,,
Si III , ,  ,2.19E+06,[254 004]    ,2,,,,,,,,,,,,,
Si III , ,  ,2.47E+06,[254 002]    ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,1.53E+08,315 230.27  , 5/2 ,,,,,,,,,,,,,
Si IV ,421.241, 7w* ,1.63E+08,315 230.27  , 7/2 ,,,,,,,,,,,,,
Si IV ,421.241, 7w* ,1.09E+07,315 230.27  , 5/2 ,,,,,,,,,,,,,
Si III , ,  ,2.14E+01,198 923.15  ,2,,,,,,,,,,,,,
Si III , ,  ,7.63E-10,199 026.49  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.56E+01,199 026.49  ,3,,,,,,,,,,,,,
Si III , ,  ,4.38E-09,198 923.15  ,2,,,,,,,,,,,,,
Si III , ,  ,2.12E+01,198 923.15  ,2,,,,,,,,,,,,,
Si III , ,  ,1.93E-08,198 923.15  ,2,,,,,,,,,,,,,
Si III , ,  ,2.99E+00,198 923.15  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,3.74E+06,249 766.19  ,1,,,,,,,,,,,,,
Si VI , ,  ,6.69E+02,1 094 449     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,1.11E+07,249 766.19  ,1,,,,,,,,,,,,,
Si IV ,431.41,3,1.06E+08,299 676.95  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,2.55E+05,176 487.19  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,432.818,5,2.12E+08,299 676.95  , 1/2 ,,,,,,,,,,,,,
Si III ,433.85,9,1.47E+07,176 487.19  ,1,,,,,,,,,,,,,
Si III ,434.14,8,5.25E+05,258 978.66  ,0,,,,,,,,,,,,,
Si III , ,  ,1.77E+07,249 766.19  ,1,,,,,,,,,,,,,
Si III , ,  ,1.46E+05,240 284.28  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,7.30E+05,240 262.28  ,1,,,,,,,,,,,,,
Si III , ,  ,1.08E+05,240 314.63  ,3,,,,,,,,,,,,,
Si III , ,  ,6.75E+05,240 284.28  ,2,,,,,,,,,,,,,
Si III ,437.763, 8w ,4.14E+06,227 665.09  ,2,,,,,,,,,,,,,
Si III , ,  ,8.58E+05,240 314.63  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,2.41E+05,240 262.28  ,1,,,,,,,,,,,,,
Si III , ,  ,1.50E-05,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,1.11E-06,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,2.63E-06,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,3.24E-06,165 765.00  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.44E-05,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,7.54E-08,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,1.50E+05,240 284.28  ,2,,,,,,,,,,,,,
Si IV ,440.373, 2w* ,4.09E+07,336 616.55  , 7/2 ,,,,,,,,,,,,,
Si IV ,440.373, 2w* ,2.73E+06,336 616.55  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,440.373, 2w* ,3.82E+07,336 616.55  , 5/2 ,,,,,,,,,,,,,
Si III , ,  ,2.22E+07,250 366.22  ,3,,,,,,,,,,,,,
Si III , ,  ,3.55E+06,249 093.5   ,1,,,,,,,,,,,,,
Si III , ,  ,2.62E+07,249 774.48  ,2,,,,,,,,,,,,,
Si III ,440.59, 6w ,4.84E+06,249 774.48  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,440.672, 8w ,3.10E+07,249 774.98  ,4,,,,,,,,,,,,,
Si III , ,  ,3.47E+06,249 774.70  ,3,,,,,,,,,,,,,
Si III , ,  ,1.36E+05,249 774.48  ,2,,,,,,,,,,,,,
Si IV ,441.165, 1w ,1.74E+06,322 337.83  , 3/2 ,,,,,,,,,,,,,
Si IV , ,  ,1.88E+06,322 312.93  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XI , ,  ,7.00E+06,3 203 130     ,3,,,,,,,,,,,,,
Si III , ,  ,4.71E+06,249 103.90  ,2,,,,,,,,,,,,,
Si III , ,  ,2.62E+06,249 093.5   ,1,,,,,,,,,,,,,
Si III , ,  ,8.03E-02,199 026.49  ,3,,,,,,,,,,,,,
Si XII , ,  ,2.79E+07,3 224 550     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,5.61E-10,198 923.15  ,2,,,,,,,,,,,,,
Si III , ,  ,3.49E-02,198 923.15  ,2,,,,,,,,,,,,,
Si III , ,  ,1.52E+06,247 935.39  ,2,,,,,,,,,,,,,
Si III , ,  ,1.42E+07,248 772.86  ,1,,,,,,,,,,,,,
Si X , ,  ,1.10E+01,390 040     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,6.07E+06,249 121.14  ,3,,,,,,,,,,,,,
Si III , ,  ,1.51E+06,249 103.90  ,2,,,,,,,,,,,,,
Si III , ,  ,1.68E+05,249 093.5   ,1,,,,,,,,,,,,,
Si III ,449.405,6,4.19E+07,248 772.86  ,1,,,,,,,,,,,,,
Si III ,455.262,30,1.26E+08,175 336.26  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,455.4,8,6.75E+07,248 772.86  ,1,,,,,,,,,,,,,
Si III , ,  ,5.47E+07,250 636.55  ,2,,,,,,,,,,,,,
Si III , ,  ,3.76E+06,257 848.5   ,2,,,,,,,,,,,,,
Si III ,456.782,25,1.25E+08,175 263.10  ,1,,,,,,,,,,,,,
Si III ,457.476,20,1.24E+08,175 230.01  ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XII , ,  ,5.00E+06,[2 463 790]    , 3/2 ,,,,,,,,,,,,,
Si IV , ,  ,1.98E+06,327 361.97  , 3/2 ,,,,,,,,,,,,,
Si IV ,461.127, 1w* ,3.71E+05,327 361.97  , 3/2 ,,,,,,,,,,,,,
Si IV ,461.127, 1w* ,2.23E+06,327 361.97  , 5/2 ,,,,,,,,,,,,,
Si III ,461.966,7,2.89E+07,248 168.04  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,462.142,100,1.28E+07,122 655.37  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,9.18E+05,122 655.37  , 5/2 ,,,,,,,,,,,,,
Si II ,462.172,150,1.37E+07,122 655.25  , 7/2 ,,,,,,,,,,,,,
Si IV ,462.862, 3w , , ,  ,,,,,,,,,,,,,
Si IV ,463.124, 9w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,463.828,7,3.79E+07,247 953.69  ,1,,,,,,,,,,,,,
Si IV ,465.432, 10w , , ,  ,,,,,,,,,,,,,
Si IV ,465.692, 3w , , ,  ,,,,,,,,,,,,,
Si III ,466.587,8,2.79E+07,247 953.69  ,1,,,,,,,,,,,,,
Si IV ,466.714, 1w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,4.40E+05,124 948.40  , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,7.06E+06,124 948.40  , 9/2 ,,,,,,,,,,,,,
Si II , ,  ,6.16E+06,124 948.40  , 7/2 ,,,,,,,,,,,,,
Si IV ,467.33, 2w , , ,  ,,,,,,,,,,,,,
Si XII , ,  ,2.40E+07,3 223 450     , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,468.302,9,8.30E+07,248 168.04  ,2,,,,,,,,,,,,,
Si III ,468.38,7,1.10E+08,247 871.66  ,0,,,,,,,,,,,,,
Si III ,471.665,16,1.32E+08,225 526.33  ,3,,,,,,,,,,,,,
Si I , ,  ,3.40E+05,60 856.630 ,1,,,,,,,,,,,,,
Si III ,473.052,7,4.47E+07,247 953.69  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I , ,  ,1.00E+06,60 856.630 ,1,,,,,,,,,,,,,
Si I , ,  ,5.70E+05,60 815.925 ,2,,,,,,,,,,,,,
Si I , ,  ,7.50E+05,60 706.558 ,1,,,,,,,,,,,,,
Si IX , ,  ,2.83E+04,1 917 100     ,3,,,,,,,,,,,,,
Si IX , ,  ,6.31E+04,1 917 100     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IX , ,  ,1.76E+05,1 917 100     ,2,,,,,,,,,,,,,
Si I , ,  ,5.70E+05,60 706.558 ,1,,,,,,,,,,,,,
Si I ,478.2991,50,1.70E+06,60 856.630 ,1,,,,,,,,,,,,,
Si I ,479.2212,35,2.20E+06,60 621.64  ,0,,,,,,,,,,,,,
Si I ,479.2324,80,1.70E+06,60 815.925 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,480.043,8,2.76E+07,228 699.75  ,1,,,,,,,,,,,,,
Si IV , ,  ,3.12E+05,336 051.55  , 5/2 ,,,,,,,,,,,,,
Si IV , ,  ,6.55E+06,336 051.55  , 3/2 ,,,,,,,,,,,,,
Si IV , ,  ,6.24E+06,336 051.55  , 5/2 ,,,,,,,,,,,,,
Si I , ,  ,6.00E+05,60 487.103 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,481.333,15,2.10E+08,230 301.22  ,3,,,,,,,,,,,,,
Si I , ,  ,9.10E+05,60 706.558 ,1,,,,,,,,,,,,,
Si I , ,  ,1.10E+06,60 704.53  ,3,,,,,,,,,,,,,
Si III ,481.972,16,2.12E+08,230 301.66  ,4,,,,,,,,,,,,,
Si III , ,  ,1.82E+07,230 301.22  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I , ,  ,8.00E+05,60 496.358 ,2,,,,,,,,,,,,,
Si III , ,  ,1.64E-05,142 948.25  ,1,,,,,,,,,,,,,
Si III , ,  ,2.32E-06,142 948.25  ,1,,,,,,,,,,,,,
Si III , ,  ,1.61E-06,142 945.84  ,2,,,,,,,,,,,,,
Si III , ,  ,1.49E-05,142 945.84  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,7.42E-06,142 943.74  ,3,,,,,,,,,,,,,
Si III , ,  ,2.11E-05,142 943.74  ,3,,,,,,,,,,,,,
Si I , ,  ,4.50E+05,60 487.103 ,1,,,,,,,,,,,,,
Si III ,482.897,18,2.25E+08,230 302.35  ,5,,,,,,,,,,,,,
Si III , ,  ,1.41E+07,230 301.66  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,2.76E+05,230 301.22  ,3,,,,,,,,,,,,,
Si III , ,  ,2.01E+06,226 820.28  ,2,,,,,,,,,,,,,
Si I , ,  ,2.60E+05,60 496.358 ,2,,,,,,,,,,,,,
Si I , ,  ,2.90E+04,60 487.103 ,1,,,,,,,,,,,,,
Si II ,488.32, 15w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XI , ,  ,2.54E+07,3 214 660     ,3,,,,,,,,,,,,,
Si II , ,  ,1.80E+06,124 276.7   , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,3.50E+06,124 276.7   , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,1.21E+06,254 766.75  ,2,,,,,,,,,,,,,
Si II ,490.699, 20w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.93E+06,226 527.42  ,1,,,,,,,,,,,,,
Si X , ,  ,3.31E-01,1 999 580+x   , 5/2 ,,,,,,,,,,,,,
Si II ,493.28, 20w , , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.89E+06,226 400.00  ,0,,,,,,,,,,,,,
Si IV ,494.745, 1w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,494.7607,30,4.20E+06,61 198.036 ,0,,,,,,,,,,,,,
Si IV ,495.011, 3* ,9.46E+05,313 914.92  , 5/2 ,,,,,,,,,,,,,
Si IV ,495.011, 3* ,1.89E+07,313 914.92  , 5/2 ,,,,,,,,,,,,,
Si IV ,495.011, 3* ,1.99E+07,313 914.92  , 3/2 ,,,,,,,,,,,,,
Si XII , ,  ,4.70E+06,[2 464 480]    , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XIII , ,  ,2.16E+06,(17 598 207)    ,1,,,,,,,,,,,,,
Si I ,500.6061,40,2.80E+06,60 962.105 ,2,,,,,,,,,,,,,
Si X , ,  ,3.63E+00,1 999 580+x   , 5/2 ,,,,,,,,,,,,,
Si II ,504.103,1000,7.00E+07,101 023.05  , 3/2 ,,,,,,,,,,,,,
Si II ,505.598,1000,1.45E+08,101 024.35  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,2.10E+07,101 023.05  , 3/2 ,,,,,,,,,,,,,
Si III ,509.142, 10w , , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.54E+06,[254 002]    ,1,,,,,,,,,,,,,
Si III , ,  ,2.07E+06,[254 004]    ,2,,,,,,,,,,,,,
Si III , ,  ,1.15E+06,[254 002]    ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,2.75E+06,254 007.48  ,3,,,,,,,,,,,,,
Si III , ,  ,6.89E+05,[254 004]    ,2,,,,,,,,,,,,,
Si III , ,  ,7.66E+04,[254 002]    ,1,,,,,,,,,,,,,
Si II , ,  ,1.30E+04,103 556.16  , 5/2 ,,,,,,,,,,,,,
Si III ,511.376, 7w ,3.82E+07,249 817.32  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,3.91E+07,249 817.85  ,4,,,,,,,,,,,,,
Si III , ,  ,3.36E+06,249 817.32  ,3,,,,,,,,,,,,,
Si III ,511.412, 8w ,4.17E+07,249 818.93  ,5,,,,,,,,,,,,,
Si III , ,  ,2.60E+06,249 817.85  ,4,,,,,,,,,,,,,
Si III , ,  ,5.11E+04,249 817.32  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,3.25E+02,249 774.98  ,4,,,,,,,,,,,,,
Si III , ,  ,2.76E+04,249 774.70  ,3,,,,,,,,,,,,,
Si III , ,  ,2.14E+04,249 774.98  ,4,,,,,,,,,,,,,
Si III , ,  ,4.39E+05,249 774.48  ,2,,,,,,,,,,,,,
Si III , ,  ,4.13E+05,249 774.70  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,4.17E+05,249 774.98  ,4,,,,,,,,,,,,,
Si XIII , ,  ,2.70E+06,(17 598 255)    ,2,,,,,,,,,,,,,
Si XII , ,  ,7.05E+05,[2 463 790]    , 3/2 ,,,,,,,,,,,,,
Si XIII , ,  ,1.49E+06,(17 598 207)    ,1,,,,,,,,,,,,,
Si II ,518.19,100, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,518.525, 100w , , ,  ,,,,,,,,,,,,,
Si II , ,  ,7.74E+05,122 835.13  , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,1.24E+07,122 835.13  , 9/2 ,,,,,,,,,,,,,
Si II , ,  ,1.08E+07,122 835.13  , 7/2 ,,,,,,,,,,,,,
Si II ,519.286, 200w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,519.726,5,2.47E+07,247 935.39  ,2,,,,,,,,,,,,,
Si II ,520.241, 500w , , ,  ,,,,,,,,,,,,,
Si II ,529.519, 30w , , ,  ,,,,,,,,,,,,,
Si III , ,  ,7.23E+03,249 121.14  ,3,,,,,,,,,,,,,
Si III , ,  ,2.56E+05,249 121.14  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,2.96E+06,249 121.14  ,3,,,,,,,,,,,,,
Si IV ,530.497, 2w* ,2.11E+06,332 759.92  , 3/2 ,,,,,,,,,,,,,
Si IV ,530.497, 2w* ,1.90E+07,332 759.92  , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,3.57E+05,249 103.90  ,2,,,,,,,,,,,,,
Si III , ,  ,2.86E+06,249 103.90  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,530.949, 1w ,2.10E+07,332 743.87  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,3.21E+06,249 093.5   ,1,,,,,,,,,,,,,
Si III , ,  ,1.30E+07,254 766.75  ,2,,,,,,,,,,,,,
Si II ,540.534, 100w , , ,  ,,,,,,,,,,,,,
Si II ,541.724, 15w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,542.892, 15w , , ,  ,,,,,,,,,,,,,
Si II ,543.289, 15w , , ,  ,,,,,,,,,,,,,
Si II ,543.862, 100w , , ,  ,,,,,,,,,,,,,
Si II ,544.726, 20w , , ,  ,,,,,,,,,,,,,
Si III ,545.146,6,4.60E+07,244 866.05  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,3.41E+07,244 736.93  ,1,,,,,,,,,,,,,
Si II ,545.449, 15w , , ,  ,,,,,,,,,,,,,
Si II ,545.645, 100w , , ,  ,,,,,,,,,,,,,
Si II , ,  ,5.36E+06,122 163.48  , 3/2 ,,,,,,,,,,,,,
Si II ,546.643, 500w ,2.16E+07,119 311.34  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,546.687, 500w ,1.54E+06,119 311.34  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,2.31E+07,119 311.19  , 7/2 ,,,,,,,,,,,,,
Si II ,546.921, 100w , , ,  ,,,,,,,,,,,,,
Si II , ,  ,6.42E+06,122 163.54  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,1.07E+06,122 163.48  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,547.305,7,6.07E+07,245 086.58  ,3,,,,,,,,,,,,,
Si II , ,  ,4.30E+05,119 273.81  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,3.87E+06,119 273.81  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,4.41E+06,119 245.22  , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,2.50E+07,244 736.93  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,549.323,40, , ,  ,,,,,,,,,,,,,
Si II ,549.645, 200w , , ,  ,,,,,,,,,,,,,
Si XIII , ,  ,2.92E+06,(17 599 059)    ,3,,,,,,,,,,,,,
Si I ,551.7535,35, , ,  ,,,,,,,,,,,,,
Si IX , ,  ,2.54E+04,1 917 100     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IX , ,  ,1.45E+05,1 917 100     ,3,,,,,,,,,,,,,
Si III , ,  ,1.46E+07,244 866.05  ,2,,,,,,,,,,,,,
Si II ,554.074, 100w , , ,  ,,,,,,,,,,,,,
Si II , ,  ,2.90E+06,121 814.38  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,5.70E+06,121 814.38  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,557.666, 150w , , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.59E+06,244 736.93  ,1,,,,,,,,,,,,,
Si III , ,  ,1.17E+05,244 943.31  ,2,,,,,,,,,,,,,
Si III , ,  ,1.75E+06,244 943.31  ,2,,,,,,,,,,,,,
Si I , ,  ,5.40E+05,57 541.918 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,9.79E+06,244 943.31  ,2,,,,,,,,,,,,,
Si III , ,  ,2.91E+06,244 933.36  ,1,,,,,,,,,,,,,
Si III , ,  ,8.75E+06,244 933.36  ,1,,,,,,,,,,,,,
Si III , ,  ,1.17E+07,244 928.72  ,0,,,,,,,,,,,,,
Si II , ,  ,2.36E+05,132 162.29  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,562.2221,30,1.60E+06,57 541.918 ,1,,,,,,,,,,,,,
Si II ,563.297, 100w ,4.00E+06,132 162.29  , 7/2 ,,,,,,,,,,,,,
Si II ,563.948, 200w , , ,  ,,,,,,,,,,,,,
Si II , ,  ,4.26E+05,131 988.05  , 5/2 ,,,,,,,,,,,,,
Si I ,564.5611,90,9.70E+05,57 468.239 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,566.066, 150w ,7.00E+06,131 988.05  , 5/2 ,,,,,,,,,,,,,
Si I ,566.5554,80,6.31E+05,57 328.789 ,1,,,,,,,,,,,,,
Si II ,566.956, 1000w ,5.00E+07,132 162.29  , 7/2 ,,,,,,,,,,,,,
Si II ,568.144, 30w ,1.00E+07,131 861.93  , 3/2 ,,,,,,,,,,,,,
Si I ,568.4484,120,2.60E+06,57 541.918 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XI , ,  ,3.67E+06,3 204 950?    ,2,,,,,,,,,,,,,
Si II ,568.881, 300w ,4.60E+07,131 988.05  , 5/2 ,,,,,,,,,,,,,
Si III , ,  ,5.95E+06,257 831.4   ,2,,,,,,,,,,,,,
Si I ,569.0425,100,9.26E+05,57 328.789 ,1,,,,,,,,,,,,,
Si III , ,  ,4.71E+04,227 088.72  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,2.34E+06,227 084.21  ,2,,,,,,,,,,,,,
Si III , ,  ,2.10E+07,227 081.19  ,1,,,,,,,,,,,,,
Si III , ,  ,1.10E+06,257 831.4   ,2,,,,,,,,,,,,,
Si III , ,  ,6.26E+06,257 831.4   ,3,,,,,,,,,,,,,
Si I ,570.1105,90,1.83E+06,57 295.881 ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,570.137, 200w ,4.50E+07,131 861.93  , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,1.66E+06,227 088.72  ,3,,,,,,,,,,,,,
Si III ,570.46,7,1.86E+07,227 084.21  ,2,,,,,,,,,,,,,
Si II ,570.637, 100w ,6.10E+07,131 784.9   , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,3.09E+04,257 831.4   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,7.82E+05,257 831.4   ,3,,,,,,,,,,,,,
Si III , ,  ,7.02E+06,257 831.4   ,4,,,,,,,,,,,,,
Si I ,570.8397,160,1.39E+06,57 468.239 ,2,,,,,,,,,,,,,
Si III ,571.629,8,1.91E+07,227 088.72  ,3,,,,,,,,,,,,,
Si III , ,  ,6.36E+06,258 013.37  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,573.973,20,5.41E+07,176 487.19  ,1,,,,,,,,,,,,,
Si I ,574.7667,45, , ,  ,,,,,,,,,,,,,
Si I ,575.3625,45, , ,  ,,,,,,,,,,,,,
Si I ,575.422,45,1.23E+06,57 328.789 ,1,,,,,,,,,,,,,
Si I ,576.2977,45, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si XIII , ,  ,6.36E+05,(17 598 255)    ,2,,,,,,,,,,,,,
Si I ,577.2145,70,3.56E+06,58 311.659 ,0,,,,,,,,,,,,,
Si XIII , ,  ,7.03E+04,(17 598 207)    ,1,,,,,,,,,,,,,
Si I ,578.0384,70,2.97E+05,56 978.256 ,1,,,,,,,,,,,,,
Si II ,578.573, 30w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,579.3071,90,3.83E+05,57 017.496 ,2,,,,,,,,,,,,,
Si II ,579.49, 30w , , ,  ,,,,,,,,,,,,,
Si I ,579.7859,100,2.53E+05,57 198.027 ,3,,,,,,,,,,,,,
Si II ,580.047, 150w , , ,  ,,,,,,,,,,,,,
Si I , ,  ,2.12E+05,56 978.256 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,580.674,200, , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.26E+07,244 871.47  ,1,,,,,,,,,,,,,
Si II ,582.78,30, , ,  ,,,,,,,,,,,,,
Si II ,584.613,50, , ,  ,,,,,,,,,,,,,
Si I , ,  ,1.24E+05,57 017.496 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,586.748,10, , ,  ,,,,,,,,,,,,,
Si II ,586.84, 300w , , ,  ,,,,,,,,,,,,,
Si I , ,  ,1.36E+04,56 978.256 ,1,,,,,,,,,,,,,
Si I ,587.3764,40, , ,  ,,,,,,,,,,,,,
Si III ,589.879, 10w ,4.86E+07,242 474.27  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,591.522,150, , ,  ,,,,,,,,,,,,,
Si I ,594.8545,200,2.22E+06,57 798.072 ,2,,,,,,,,,,,,,
Si II ,595.756,500,5.60E+07,97 972.09  , 1/2 ,,,,,,,,,,,,,
Si II ,597.893,500,1.13E+08,97 972.09  , 1/2 ,,,,,,,,,,,,,
Si II ,606.745, 10w , , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,608.006, 20w , , ,  ,,,,,,,,,,,,,
Si II ,608.667, 10w , , ,  ,,,,,,,,,,,,,
Si I ,612.5021,90, , ,  ,,,,,,,,,,,,,
Si I ,613.1574,85, , ,  ,,,,,,,,,,,,,
Si I ,613.185,90, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,614.2487,100, , ,  ,,,,,,,,,,,,,
Si I ,614.5015,100, , ,  ,,,,,,,,,,,,,
Si III , ,  ,7.05E+05,250 636.55  ,2,,,,,,,,,,,,,
Si I ,615.5134,160, , ,  ,,,,,,,,,,,,,
Si III , ,  ,1.06E+07,243 868.50  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,8.11E+04,175 263.10  ,1,,,,,,,,,,,,,
Si III , ,  ,1.31E-06,159 069.61  ,0,,,,,,,,,,,,,
Si III , ,  ,1.08E-12,159 069.61  ,0,,,,,,,,,,,,,
Si I ,623.732,160, , ,  ,,,,,,,,,,,,,
Si I ,623.8287,40, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.61E+06,119 578.23  , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,2.58E+07,119 578.23  , 9/2 ,,,,,,,,,,,,,
Si II , ,  ,2.25E+07,119 578.23  , 7/2 ,,,,,,,,,,,,,
Si I ,624.3813,125, , ,  ,,,,,,,,,,,,,
Si I ,624.4468,125, , ,  ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
